stock,name,market,type,team,entry_rsi_min,entry_rsi_max,stop_loss_atr,take_profit_atr,max_hold,current_price,prev_close,change_pct,current_rsi,bias20,ma_status,volume,signal,score,reasons
0050,元大台灣50,TW,etf,Nana,38,65,1.8,4.0,14,94.6,94.6,0.0,81.6,9.997,BULL,82344261,HOLD,30,MA多頭; RSI偏離(81.6); BIAS偏離(9.997)
0056,元大高股息,TW,etf,Nana,35,57,1.8,4.0,18,42.62,41.92,1.67,79.8,6.312,BULL,98116255,HOLD,30,MA多頭; RSI偏離(79.8); BIAS偏離(6.312)
00646,富邦S&P500,TW,etf,Nana,36,65,1.8,4.0,14,71.65,72.05,-0.56,85.4,2.842,BULL,2580829,HOLD,50,MA多頭; RSI偏離(85.4); BIAS理想(2.842)
00713,元大高息低波,TW,etf,Nana,35,60,1.5,3.5,21,53.35,53.05,0.57,56.9,0.409,BULL,15713891,ENTRY_WATCH,60,MA多頭; RSI可接受區間; BIAS合理
2317,鴻海,TW,tech,Nana,32,62,2.2,4.0,10,239.5,227.5,5.27,77.1,12.099,BEAR,160135022,HOLD,0,MA空頭; RSI偏離(77.1); BIAS偏離(12.099)
2330,台積電,TW,semi,Nana,35,60,2.0,5.0,10,2250.0,2275.0,-1.1,65.6,7.875,BULL,24153704,HOLD,40,MA多頭; RSI偏離(65.6); BIAS合理
2345,智邦,TW,tech,Nana,30,60,2.2,4.5,8,2495.0,2505.0,-0.4,76.0,21.087,BULL,3434889,HOLD,30,MA多頭; RSI偏離(76.0); BIAS偏離(21.087)
2382,廣達,TW,ai_server,Nana,35,60,1.5,5.0,14,321.0,318.0,0.94,48.9,0.438,BULL,12365726,ENTRY_LONG,90,MA多頭; RSI理想區間(40.0-55.0); BIAS理想(0.438)
2454,聯發科,TW,ic_design,Nana,30,65,1.5,4.0,14,3155.0,2870.0,9.93,91.6,49.014,BULL,8811556,HOLD,30,MA多頭; RSI偏離(91.6); BIAS偏離(49.014)
2881,富邦金控,TW,金融,nana,30,65,2.0,4.0,14,92.2,91.0,1.32,73.0,4.122,BEAR,24836660,HOLD,20,MA空頭; RSI偏離(73.0); BIAS理想(4.122)
