代號,名稱,現價,RSI,MA狀態,MA20偏離%,營收成長%,PE,ROE%,營益率%,負債比%,市值億,日成交量萬,1月動能%,分數,訊號,備註
2891,CTBC FINANCIAL HOLDINGS COMPANY,52.3,34.55,接近MA20,2.4,43.3,12.9,15.54,N/A,99.2,1029.1,5203.0,-2.6,79,STRONG BUY,
2884,E SUN FINANCIAL HOLDINGS,31.85,43.55,接近MA20,2.1,30.6,15.0,13.05,N/A,N/A,515.1,4847.0,-1.4,78,STRONG BUY,
2881,FUBON FINANCIAL HLDG CO LTD,90.0,62.5,接近MA20,2.1,24.0,10.8,12.32,N/A,98.7,1229.9,3103.0,2.5,73,STRONG BUY,
2883,KGI FINANCIAL HOLDING CO LTD,21.5,54.79,MA20上方,3.2,35.3,12.4,9.47,N/A,99.0,365.0,5611.0,8.6,73,STRONG BUY,
2886,MEGA FINANCIAL HOLDING CO,39.1,41.57,接近MA20,1.2,12.4,16.6,9.26,N/A,N/A,581.9,3210.0,0.4,72,STRONG BUY,
2855,PRESIDENT SECURITIES,35.6,73.1,MA20上方,7.0,115.0,11.9,12.89,N/A,99.6,57.0,757.0,9.4,71,STRONG BUY,
3706,MITAC HOLDINGS CORPORATION,81.4,42.0,接近MA20,0.2,30.2,15.9,10.92,N/A,94.7,108.0,633.0,6.5,69,WATCH,
2882,CATHAY FINANCIAL HLDG CO,77.2,66.93,MA20上方,4.1,112.9,10.9,N/A,N/A,98.8,1132.5,2944.0,7.4,69,WATCH,
2892,FIRST FINANCIAL HOLDING CO LTD,28.85,55.56,接近MA20,0.8,12.0,15.4,9.61,N/A,N/A,414.8,7981.0,1.4,69,WATCH,
1504,TECO ELECTRIC & MACHINERY CO,62.4,62.39,接近MA20,1.5,13.4,25.8,6.25,N/A,95.8,146.3,2486.0,0.2,61,WATCH,
3031,BRIGHT LED ELECTRONICS CORP,31.55,59.3,MA20上方,6.1,12.7,29.2,6.13,N/A,79.2,5.5,595.0,38.4,57,WATCH,
2377,MICRO-STAR INTERNATIONAL CO,97.7,63.64,MA20上方,5.4,11.9,14.5,10.7,N/A,95.5,82.5,1596.0,10.9,56,WATCH,
5388,SERCOMM CORP,76.5,26.54,MA20下方,5.1,16.8,19.4,7.43,N/A,97.2,22.9,190.0,3.0,56,WATCH,
2441,GREATEK ELECTRONICS INC,84.0,37.06,MA20下方,6.8,10.5,19.7,10.52,N/A,10.5,47.8,1199.0,-5.0,55,WATCH,
