ticker,price,score,revenue_growth,pe_ratio,roe,operating_margin,rsi,ma20_deviation,momentum_1m,week52_position
DLO,13.75,12,65.20,21.20,37.20,18.60,58.60,2.60,6.90,63.40
GEN,19.37,11,25.80,20.00,26.90,35.80,47.20,0.50,2.50,15.00
SMCI,27.09,9,123.40,19.80,13.20,3.70,50.30,1.80,16.70,21.70
PATH,10.67,8,13.60,20.50,14.40,16.70,49.80,2.30,-5.10,13.00
SOFI,16.43,8,42.50,36.50,6.60,18.30,41.80,-6.90,3.70,7.50
FAST,44.91,8,12.40,39.70,33.80,20.30,48.50,-1.20,-2.50,60.70
HOOD,73.66,8,15.10,35.80,21.50,38.50,43.50,-7.00,6.90,10.40
RKLB,78.81,8,35.70,,-18.80,-28.40,52.10,1.60,16.40,69.20
GDDY,86.76,8,6.10,13.70,398.20,24.70,54.40,3.00,6.20,13.60
NDAQ,91.32,8,13.70,27.50,16.20,48.40,61.60,3.60,5.40,57.30
RUN,13.06,7,123.50,7.60,-22.10,8.40,50.90,2.50,-3.30,17.20
PINS,20.22,7,14.30,33.10,8.80,22.80,58.40,4.00,11.20,26.30
OUST,26.45,7,106.60,,-27.30,-1.00,59.60,8.60,35.70,65.10
UPST,32.74,7,34.40,72.80,7.50,8.90,56.30,5.00,28.00,32.20
BMY,58.22,7,2.60,16.30,38.70,29.30,47.80,-0.90,-2.30,79.50
DXCM,61.35,7,15.00,26.30,35.60,21.40,45.20,-1.70,-1.40,33.30
GPN,72.36,7,,16.30,4.80,27.90,57.90,5.10,13.00,49.50
WAL,80.80,7,7.90,9.40,13.00,31.80,60.00,3.50,12.10,48.70
FTNT,86.29,7,14.80,35.70,135.70,32.80,57.70,4.10,4.60,87.80
VLTO,87.63,7,6.80,22.60,36.50,23.80,44.00,-2.00,-0.40,14.50
PAYX,93.02,7,19.90,20.50,,44.40,53.10,2.20,1.40,24.90
XERS,6.28,6,42.80,inf,,19.50,57.30,3.60,4.00,21.50
DBX,24.93,6,-1.20,13.40,,24.90,60.60,5.00,6.50,31.70
MTCH,38.67,6,2.10,16.20,,30.00,77.60,10.40,23.80,100.00
GLOB,40.62,6,-4.70,17.70,5.00,19.10,34.40,-10.60,-15.10,0.00
SEDG,42.91,6,70.90,,-74.70,-9.30,49.40,0.70,-12.00,61.70
TRMB,68.42,6,-1.40,38.90,7.30,22.50,56.00,2.00,5.10,28.00
MNDY,72.74,6,24.60,32.50,10.40,0.70,57.00,10.00,6.40,9.50
TEAM,88.88,6,31.70,,-19.30,-3.10,68.00,30.90,30.20,26.70
LCID,6.54,5,122.90,,-66.00,-203.70,36.50,-12.40,-34.30,6.40
WB,8.36,5,3.60,4.90,12.20,19.40,47.00,-0.50,3.10,14.30
EXC,46.50,5,-1.10,17.00,9.90,21.60,42.80,-2.10,-5.70,51.10
DOCU,47.96,5,7.80,32.40,15.80,10.50,54.70,3.70,-0.80,19.80
CTSH,52.43,5,5.80,11.40,14.90,15.60,25.80,-9.90,-16.20,0.00
LRN,93.08,5,2.70,14.60,20.10,20.80,49.50,-1.80,3.80,78.20
PLUG,3.11,4,17.60,,-120.50,-65.40,58.40,5.10,29.00,81.50
SNAP,6.29,4,10.20,,-19.50,2.90,66.20,12.40,35.90,45.70
QS,7.26,4,,,-38.00,,56.00,5.60,14.20,11.70
NCNO,18.13,4,5.90,362.60,0.90,1.60,57.80,2.00,6.00,32.30
GTLB,24.05,4,23.20,,-6.30,-1.00,59.80,11.40,6.60,14.60
BOX,25.01,4,13.60,43.10,-575.80,-22.10,58.10,5.50,4.10,33.50
U,27.13,4,10.10,,-11.60,-19.60,64.90,9.90,19.30,30.90
ENPH,33.85,4,-20.60,33.50,14.10,-9.10,45.70,2.10,-3.10,30.30
DT,37.61,4,18.20,62.70,7.00,14.10,57.70,5.90,-0.20,29.00
RBLX,45.13,4,39.30,,-311.90,-20.40,26.90,-21.00,-24.90,0.00
ESTC,48.61,4,17.70,,-10.20,0.20,49.50,2.60,-4.10,10.40
ALGM,48.98,4,28.90,,-1.40,4.20,75.60,21.50,50.20,100.00
FROG,49.89,4,25.20,,-8.60,-13.70,61.40,9.10,-1.40,44.20
PSN,50.87,4,-4.10,24.30,11.00,6.00,36.50,-6.40,-9.70,2.30
OKTA,75.78,4,11.60,57.80,3.50,6.60,51.10,3.10,-5.50,41.30
COUR,6.15,3,9.10,,-10.30,-12.90,51.90,2.50,4.10,26.90
TH,14.68,3,7.30,,-9.20,-14.50,64.00,1.00,5.80,87.40
RIVN,15.02,3,11.40,,-65.70,-63.80,41.10,-7.20,-2.50,25.30
MLKN,16.21,3,5.80,108.10,1.10,5.10,44.10,-0.50,12.20,28.90
TENB,21.23,3,9.60,,-3.70,4.30,61.40,10.60,20.80,40.00
IMVT,27.12,3,,,-69.30,,51.70,0.30,10.70,68.30
CFLT,30.99,3,20.50,,-27.70,-27.50,73.50,0.80,0.90,100.00
BILL,39.07,3,14.40,,-0.60,-4.30,52.00,3.00,1.10,20.20
AOSL,43.08,3,-6.30,,-12.00,-8.40,72.90,25.10,89.70,94.90
MRNA,45.37,3,-29.80,,-28.90,-126.40,34.70,-11.10,-7.80,64.90
FIS,46.54,3,8.20,63.80,2.60,24.60,46.00,-0.30,0.50,13.40
GM,75.77,3,-0.90,27.70,4.00,9.40,44.70,-2.30,4.50,46.90
ASAN,6.99,2,9.20,,-99.10,-0.90,60.50,14.10,9.70,15.90
F,11.88,2,6.40,,-14.80,5.70,40.40,-3.70,2.40,20.80
KOD,43.96,2,,,-149.50,,58.80,1.00,8.20,91.60
INTC,99.62,2,7.20,,-2.90,6.90,87.50,40.10,97.70,100.00
TXG,22.43,1,0.60,,-5.80,-9.40,51.40,-2.50,0.40,72.10
