ticker,price,market_cap_B,avg_volume_M,revenue_growth,pe_ratio,roe,operating_margin,debt_to_equity,rsi,ma20_deviation,momentum_1m,week52_position,exchange,score,signal
DLO,13.75,4.06,1.55,65.20,21.20,37.20,18.60,15.90,58.60,2.60,6.90,63.40,NMS,12,⭐⭐⭐ STRONG BUY
GEN,19.37,11.73,7.22,25.80,20.00,26.90,35.80,363.40,47.20,0.50,2.50,15.00,NMS,11,⭐⭐⭐ STRONG BUY
SMCI,27.09,16.27,36.72,123.40,19.80,13.20,3.70,75.30,50.30,1.80,16.70,21.70,NMS,9,⭐⭐⭐ STRONG BUY
PATH,10.67,5.59,31.83,13.60,20.50,14.40,16.70,3.90,49.80,2.30,-5.10,13.00,NYQ,8,⭐⭐⭐ STRONG BUY
SOFI,16.43,21.05,67.16,42.50,36.50,6.60,18.30,17.70,41.80,-6.90,3.70,7.50,NMS,8,⭐⭐⭐ STRONG BUY
FAST,44.91,51.56,8.08,12.40,39.70,33.80,20.30,11.20,48.50,-1.20,-2.50,60.70,NMS,8,⭐⭐⭐ STRONG BUY
HOOD,73.66,66.33,33.94,15.10,35.80,21.50,38.50,140.50,43.50,-7.00,6.90,10.40,NMS,8,⭐⭐⭐ STRONG BUY
RKLB,78.81,45.56,21.31,35.70,,-18.80,-28.40,15.40,52.10,1.60,16.40,69.20,NCM,8,⭐⭐⭐ STRONG BUY
GDDY,86.76,11.51,2.37,6.10,13.70,398.20,24.70,1621.60,54.40,3.00,6.20,13.60,NYQ,8,⭐⭐⭐ STRONG BUY
NDAQ,91.32,51.65,4.36,13.70,27.50,16.20,48.40,79.10,61.60,3.60,5.40,57.30,NMS,8,⭐⭐⭐ STRONG BUY
RUN,13.06,3.08,9.87,123.50,7.60,-22.10,8.40,297.90,50.90,2.50,-3.30,17.20,NMS,7,⭐⭐ BUY
PINS,20.22,12.96,19.06,14.30,33.10,8.80,22.80,5.50,58.40,4.00,11.20,26.30,NYQ,7,⭐⭐ BUY
OUST,26.45,1.68,1.94,106.60,,-27.30,-1.00,6.50,59.60,8.60,35.70,65.10,NMS,7,⭐⭐ BUY
UPST,32.74,3.13,5.31,34.40,72.80,7.50,8.90,237.50,56.30,5.00,28.00,32.20,NMS,7,⭐⭐ BUY
BMY,58.22,118.87,12.49,2.60,16.30,38.70,29.30,221.20,47.80,-0.90,-2.30,79.50,NYQ,7,⭐⭐ BUY
