date,close,high,low,open,volume,foreign_net,trust_net,f_consec,t_consec,ma20,ma60,rsi,bias,atr,atr_pct,score,entry_ok,exit_ok
2026-01-02,1579.8455810546875,1579.8455810546875,1539.9756610280708,1549.943141034725,37512761,-3036217,712435,0,1,1579.8455810546875,1579.8455810546875,50.0,0.0,39.86992002661668,2.5236593059936885,30,False,True
2026-01-05,1664.569091796875,1689.48779077587,1619.7154336346837,1624.699173430483,66871820,-3522824,3436638,0,2,1622.2073364257812,1622.2073364257812,50.0,2.6113650468644565,74.75606487389962,4.4910160378624875,30,False,True
2026-01-06,1699.455322265625,1699.455322265625,1639.6504428897085,1639.6504428897085,46751692,-8126762,956707,0,3,1647.9566650390625,1647.9566650390625,50.0,3.1250006944413067,69.7723363745719,4.105570500173848,35,False,True
2026-01-07,1669.5528564453125,1679.5203361852846,1659.5853767053404,1659.5853767053404,49857449,-26411438,943945,0,4,1653.355712890625,1653.355712890625,79.99998367085672,0.9796526802069359,62.29673867100007,3.7313427023591,30,False,True
2026-01-08,1679.5203857421875,1694.471605793305,1649.6179456399527,1654.6016856569918,29215618,-4376084,566782,0,5,1658.5886474609374,1658.5886474609374,81.24999043214554,1.262021075164936,58.80812296747049,3.501483129749742,30,False,True
2026-01-09,1674.53662109375,1694.4715808686756,1649.6179213750931,1659.585401262556,37387656,-10781928,-333398,0,0,1661.2466430664062,1661.2466430664062,78.7878585451482,0.800000293924597,56.48237905515581,3.3730154565543904,20,False,True
2026-01-12,1684.5040283203125,1699.4552475065875,1684.5040283203125,1694.4715077778292,29987449,-10067382,19943,0,1,1664.569126674107,1664.569126674107,79.99997200718296,1.1976013087564785,51.973271534824626,3.085375318849744,20,False,True
2026-01-13,1704.4390869140625,1714.4065669544957,1694.4716068736295,1714.4065669544957,30171800,-2964833,-135174,0,0,1669.5528717041016,1669.5528717041016,82.05126594759855,2.0895543831656442,49.21442992224445,2.887426737634176,20,False,True
2026-01-14,1704.4390869140625,1709.422826934279,1694.4716068736295,1699.455346893846,29100816,-4902881,1058165,0,1,1673.4291178385417,1673.4291178385417,82.05126594759855,1.85307932944147,45.40740660428946,2.664067431503282,20,False,True
2026-01-15,1684.5040283203125,1694.4715077778292,1674.536548862796,1679.5202885915542,36391886,-9178378,1281126,0,2,1674.5366088867188,1674.5366088867188,74.41855961138194,0.5952344893922825,43.85691974898716,2.603550897573019,20,False,True
2026-01-16,1734.3414306640625,1744.3089101506375,1704.4389922043372,1729.357690920775,53551629,8972644,208220,1,3,1679.9734108664773,1679.9734108664773,79.24524290815049,3.2362428741978686,45.30673448365424,2.6123307488714453,35,False,True
2026-01-19,1754.2763671875,1774.2113259055398,1719.3901894309304,1719.3901894309304,29580038,-9837846,-1063639,0,0,1686.1653238932292,1686.1653238932292,80.7017144300982,4.039404815715666,46.09960131623384,2.6278414381276693,15,False,True
2026-01-20,1769.2276611328125,1769.2276611328125,1734.3414818992078,1734.3414818992078,29401234,-6228300,-22024,0,0,1692.5547344501201,1692.5547344501201,81.66663264764595,4.530011651741472,45.237030386800825,2.556880122360068,15,False,True
2026-01-21,1734.3414306640625,1759.2601293805,1734.3414306640625,1739.32517040735,45192749,-18211755,-3632892,0,0,1695.5394984654017,1695.5394984654017,73.13429343737181,2.2884711464274123,44.49768753551148,2.565682094008084,20,False,True
2026-01-22,1754.2763671875,1764.2438465465198,1744.30888782848,1759.2601068670099,32069478,-4039767,420754,0,1,1699.4552897135416,1699.4552897135416,74.64785136811093,3.225802867882392,43.78572295378581,2.495942131625713,15,False,True
2026-01-23,1764.243896484375,1769.2276363049523,1744.3089372020656,1764.243896484375,27601167,-4687757,3364039,0,2,1703.5045776367188,1703.5045776367188,67.8571178635912,3.565550668018764,37.73404362390753,2.1388223985980908,25,False,True
2026-01-26,1749.292724609375,1779.1951643462874,1749.292724609375,1759.2602045216793,22960198,-3984543,-398744,0,0,1706.197998046875,1706.197998046875,59.61537374540508,2.5257752389717694,35.59815507826438,2.0350027515385456,30,False,True
2026-01-27,1774.21142578125,1779.1951657413097,1749.2927259809514,1754.2764659410113,28985200,6984855,-284920,1,0,1709.9765218098958,1709.9765218098958,70.5882183434678,3.756478709038993,34.886190476239385,1.9662927410625666,25,False,True
2026-01-28,1814.081298828125,1814.081298828125,1784.1788598364526,1784.1788598364526,29301156,8099283,663992,2,1,1715.455720600329,1715.455720600329,73.6841833864818,5.749234855988106,34.530205682919586,1.903454145369653,30,False,True
