symbol,name,date,entry_price,rsi,mom,score,adx,atr,ma20,ma20_broken,return_pct,exit_reason
2330,台積電,2022-07-08,436.04,39.3,2.98,35,20.1,12.3,451.48,True,5.139,hold_expired
2330,台積電,2022-10-05,417.9,39.0,1.6,35,19.3,10.23,429.93,True,-9.775,stop_loss
2330,台積電,2022-11-01,367.65,39.5,5.53,45,18.5,10.97,377.33,True,4.087,hold_expired
2330,台積電,2024-08-06,855.92,33.4,-6.38,43,26.8,42.1,951.14,True,7.159,hold_expired
2330,台積電,2024-08-08,871.48,41.9,-6.67,38,30.0,42.31,938.54,True,8.594,hold_expired
2330,台積電,2025-03-18,956.72,31.2,0.47,43,18.5,23.02,1003.85,True,-1.339,hold_expired
2330,台積電,2025-04-15,864.11,37.2,7.48,45,21.7,37.86,908.27,True,-6.956,stop_loss
2317,鴻海,2024-08-12,169.83,33.5,4.76,53,36.6,10.34,185.34,True,4.261,hold_expired
2317,鴻海,2025-04-11,129.79,34.8,-12.38,35,44.6,7.82,147.76,True,-1.859,hold_expired
2317,鴻海,2025-04-15,134.61,36.1,11.6,50,40.5,8.41,144.86,True,-2.151,hold_expired
2317,鴻海,2025-04-17,129.79,39.0,8.91,50,34.0,8.55,141.73,True,5.948,hold_expired
2317,鴻海,2025-04-21,131.72,39.9,-1.44,35,31.1,8.0,138.93,True,3.663,hold_expired
2454,聯發科,2022-03-18,714.93,31.8,0.62,48,27.7,29.56,754.8,True,-5.882,hold_expired
2454,聯發科,2022-03-22,719.35,40.5,7.85,48,22.7,27.4,743.85,True,-6.462,stop_loss
2454,聯發科,2022-07-08,528.08,31.1,6.37,50,39.8,25.25,566.95,True,1.69,hold_expired
2454,聯發科,2022-07-12,498.06,35.4,-0.16,35,35.9,23.35,552.51,True,16.612,hold_expired
2454,聯發科,2022-12-23,535.38,31.6,0.0,40,19.4,15.7,567.82,True,-4.697,stop_loss
2454,聯發科,2023-01-03,522.4,33.9,-1.08,38,19.8,15.18,546.53,True,9.783,take_profit
2454,聯發科,2023-01-05,511.85,37.9,-1.1,38,20.4,13.62,539.47,True,9.984,take_profit
2454,聯發科,2023-05-05,547.54,44.1,1.96,38,20.2,15.82,564.13,True,0.741,hold_expired
2454,聯發科,2024-08-08,1050.7,37.8,-5.51,43,38.5,62.8,1170.42,True,12.556,hold_expired
2454,聯發科,2024-08-12,1107.24,41.2,18.57,53,26.8,62.13,1144.27,True,3.83,hold_expired
2454,聯發科,2025-04-11,1332.43,43.4,-3.48,33,20.1,67.0,1361.29,True,-6.137,hold_expired
2454,聯發科,2025-04-15,1332.43,40.7,9.92,48,18.1,69.06,1361.05,True,-3.971,hold_expired
2454,聯發科,2025-10-09,1319.42,32.1,4.67,48,22.5,36.09,1368.72,True,-0.372,hold_expired
2454,聯發科,2025-10-14,1280.18,35.4,-1.14,38,22.0,34.68,1351.55,True,-0.766,hold_expired
2454,聯發科,2026-04-09,1575.0,32.4,5.7,53,24.2,66.43,1620.75,True,13.651,take_profit
2303,聯電,2022-07-08,32.94,34.4,4.34,45,29.2,1.45,35.13,True,-7.431,stop_loss
2303,聯電,2022-07-12,30.49,33.3,-5.53,35,29.1,1.45,34.37,True,16.463,hold_expired
2382,廣達,2022-05-30,62.88,39.1,4.77,40,18.3,1.38,63.27,True,1.896,hold_expired
2382,廣達,2023-08-10,194.56,36.3,-1.41,53,22.2,19.41,209.49,True,19.002,hold_expired
2382,廣達,2023-09-25,208.89,30.3,1.57,43,18.4,9.47,217.53,True,10.398,hold_expired
